"gene","accession_idsorted","LAP_SD_WW","annotation","symbol"
"AT2G28370",9584,-0.26,"Uncharacterized protein family (UPF0497)(AT2G28370)","AT2G28370"
"AT2G28420",9598,-0.26,"Lactoylglutathione lyase / glyoxalase I family protein(GLYI8)","GLYI8"
"AT2G28520",9880,-0.26,"vacuolar proton ATPase A1(VHA-A1)","VHA-A1"
"AT2G28840",9844,-0.26,"hypothetical protein(XBAT31)","XBAT31"
"AT2G29710",9522,-0.26,"UDP-Glycosyltransferase superfamily protein(AT2G29710)","AT2G29710"
"AT2G30110",9871,-0.26,"ubiquitin-activating enzyme 1(UBA1)","UBA1"
"AT2G34330",9598,-0.26,"LOW protein: protein BOBBER-like protein(AT2G34330)","AT2G34330"
"AT2G35390",9601,-0.26,"Phosphoribosyltransferase family protein(AT2G35390)","AT2G35390"
"AT2G36300",9557,-0.26,"Integral membrane Yip1 family protein(AT2G36300)","AT2G36300"
"AT2G37820",9845,-0.26,"Cysteine/Histidine-rich C1 domain family protein(AT2G37820)","AT2G37820"
"AT2G38500",9846,-0.26,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT2G38500)","AT2G38500"
"AT2G39940",9905,-0.26,"RNI-like superfamily protein(COI1)","COI1"
"AT2G43550",9598,-0.26,"scorpion toxin-like knottin superfamily protein(AT2G43550)","AT2G43550"
"AT2G43880",9593,-0.26,"Pectin lyase-like superfamily protein(AT2G43880)","AT2G43880"
"AT2G45010",9874,-0.26,"PLAC8 family protein(AT2G45010)","AT2G45010"
"AT2G45070",9518,-0.26,"Preprotein translocase Sec, Sec61-beta subunit protein(SEC61 BETA)","SEC61 BETA"
"AT2G47170",9543,-0.26,"Ras-related small GTP-binding family protein(ARF1A1C)","ARF1A1C"
"AT3G01150",9568,-0.26,"polypyrimidine tract-binding protein 1(PTB1)","PTB1"
"AT3G03480",9568,-0.26,"acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase(CHAT)","CHAT"
"AT3G04485",9533,-0.26,"ncRNA(AT3G04485)","AT3G04485"
"AT3G07630",9518,-0.26,"arogenate dehydratase 2(ADT2)","ADT2"
"AT3G08530",9550,-0.26,"Clathrin, heavy chain(AT3G08530)","AT3G08530"
"AT3G12570",9944,-0.26,"FYD(FYD)","FYD"
"AT3G13050",9587,-0.26,"Major facilitator superfamily protein(NiaP)","NiaP"
"AT3G13320",9588,-0.26,"cation exchanger 2(CAX2)","CAX2"
"AT3G13380",9825,-0.26,"BRI1-like 3(BRL3)","BRL3"
"AT3G14780",9567,-0.26,"callose synthase(AT3G14780)","AT3G14780"
"AT3G15260",9844,-0.26,"Protein phosphatase 2C family protein(AT3G15260)","AT3G15260"
"AT3G15400",9567,-0.26,"anther 20(ATA20)","ATA20"
"AT3G15890",9846,-0.26,"Protein kinase superfamily protein(AT3G15890)","AT3G15890"
"AT3G16390",9547,-0.26,"nitrile specifier protein 3(NSP3)","NSP3"
"AT3G16565",9855,-0.26,"threonyl and alanyl tRNA synthetase second additional domain-containing protein(AT3G16565)","AT3G16565"
"AT3G18380",9832,-0.26,"DNA-BINDING TRANSCRIPTION FACTOR 2(SHH2)","SHH2"
"AT3G18420",9855,-0.26,"Protein prenylyltransferase superfamily protein(AT3G18420)","AT3G18420"
"AT3G22425",9844,-0.26,"imidazoleglycerol-phosphate dehydratase(IGPD)","IGPD"
"AT3G23790",9584,-0.26,"AMP-dependent synthetase and ligase family protein(AAE16)","AAE16"
"AT3G26100",9560,-0.26,"Regulator of chromosome condensation (RCC1) family protein(AT3G26100)","AT3G26100"
"AT3G44380",9518,-0.26,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT3G44380)","AT3G44380"
"AT3G47833",9584,-0.26,"succinate dehydrogenase subunit(SDH7)","SDH7"
"AT3G49050",9524,-0.26,"alpha/beta-Hydrolases superfamily protein(AT3G49050)","AT3G49050"
"AT3G50080",9518,-0.26,"VIER F-box protein 2(VFB2)","VFB2"
"AT3G50460",9522,-0.26,"homolog of RPW8 2(HR2)","HR2"
"AT3G50760",9855,-0.26,"galacturonosyltransferase-like 2(GATL2)","GATL2"
"AT3G53270",9874,-0.26,"Small nuclear RNA activating complex (SNAPc), subunit SNAP43 protein(AT3G53270)","AT3G53270"
"AT3G53410",9543,-0.26,"RING/U-box superfamily protein(LUL2)","LUL2"
"AT3G53480",9584,-0.26,"pleiotropic drug resistance 9(ABCG37)","ABCG37"
"AT3G54820",9526,-0.26,"plasma membrane intrinsic protein 2;5(PIP2;5)","PIP2;5"
"AT3G59300",9543,-0.26,"Pentatricopeptide repeat (PPR) superfamily protein(AT3G59300)","AT3G59300"
"AT3G60640",9846,-0.26,"Ubiquitin-like superfamily protein(ATG8G)","ATG8G"
"AT3G61571",9598,-0.26,"hypothetical protein(AT3G61571)","AT3G61571"
"AT3G62830",9522,-0.26,"NAD(P)-binding Rossmann-fold superfamily protein(AUD1)","AUD1"
"AT3G62960",9584,-0.26,"Thioredoxin superfamily protein(AT3G62960)","AT3G62960"
"AT3G62990",9588,-0.26,"myelin transcription factor-like protein(AT3G62990)","AT3G62990"
"AT3G63220",9543,-0.26,"Galactose oxidase/kelch repeat superfamily protein(AT3G63220)","AT3G63220"
"AT4G00630",9518,-0.26,"K+ efflux antiporter 2(KEA2)","KEA2"
"AT4G04210",9547,-0.26,"plant UBX domain containing protein 4(PUX4)","PUX4"
"AT4G04860",8357,-0.26,"DERLIN-2.2(DER2.2)","DER2.2"
"AT4G04972",9586,-0.26,"hypothetical protein(AT4G04972)","AT4G04972"
"AT4G06701",9550,-0.26,"ncRNA(AT4G06701)","AT4G06701"
"AT4G07950",6970,-0.26,"DNA-directed RNA polymerase, subunit M, archaeal(AT4G07950)","AT4G07950"
"AT4G10260",9518,-0.26,"pfkB-like carbohydrate kinase family protein(AT4G10260)","AT4G10260"
"AT4G10390",9586,-0.26,"Protein kinase superfamily protein(AT4G10390)","AT4G10390"
"AT4G12580",9531,-0.26,"hypothetical protein(AT4G12580)","AT4G12580"
"AT4G14590",9543,-0.26,"embryo defective 2739(emb2739)","emb2739"
"AT4G19080",9568,-0.26,"hypothetical protein (DUF594)(AT4G19080)","AT4G19080"
"AT4G19960",9593,-0.26,"K+ uptake permease 9(KUP9)","KUP9"
"AT4G20460",6970,-0.26,"NAD(P)-binding Rossmann-fold superfamily protein(AT4G20460)","AT4G20460"
"AT4G20930",9825,-0.26,"6-phosphogluconate dehydrogenase family protein(AT4G20930)","AT4G20930"
"AT4G23140",8357,-0.26,"cysteine-rich RLK (RECEPTOR-like protein kinase) 6(CRK6)","CRK6"
"AT4G23280",9588,-0.26,"cysteine-rich RLK (RECEPTOR-like protein kinase) 20(CRK20)","CRK20"
"AT4G23640",9584,-0.26,"Potassium transporter family protein(TRH1)","TRH1"
"AT4G24010",9588,-0.26,"cellulose synthase like G1(CSLG1)","CSLG1"
"AT4G24340",9598,-0.26,"Phosphorylase superfamily protein(AT4G24340)","AT4G24340"
"AT4G24450",9874,-0.26,"phosphoglucan, water dikinase(PWD)","PWD"
"AT4G24690",9593,-0.26,"ubiquitin-associated (UBA)/TS-N domain-containing protein / octicosapeptide/Phox/Bemp1 (PB1) domain-containing protein(NBR1)","NBR1"
"AT4G25240",9518,-0.26,"SKU5 similar 1(SKS1)","SKS1"
"AT4G26810",9819,-0.26,"SWIB/MDM2 domain superfamily protein(AT4G26810)","AT4G26810"
"AT4G28440",9567,-0.26,"Nucleic acid-binding, OB-fold-like protein(AT4G28440)","AT4G28440"
"AT4G29180",9586,-0.26,"root hair specific 16(RHS16)","RHS16"
"AT4G30996",9560,-0.26,"ubiquitin-associated protein (DUF1068)(NKS1)","NKS1"
"AT4G33650",9547,-0.26,"dynamin-related protein 3A(DRP3A)","DRP3A"
"AT4G38260",9587,-0.26,"transport/golgi organization-like protein (DUF833)(AT4G38260)","AT4G38260"
"AT4G38300",9601,-0.26,"glycosyl hydrolase family 10 protein(AT4G38300)","AT4G38300"
"AT4G38630",9601,-0.26,"regulatory particle non-ATPase 10(RPN10)","RPN10"
"AT5G01720",9531,-0.26,"RNI-like superfamily protein(AT5G01720)","AT5G01720"
"AT5G01850",9598,-0.26,"Protein kinase superfamily protein(AT5G01850)","AT5G01850"
"AT5G02630",9871,-0.26,"Lung seven transmembrane receptor family protein(Cand6)","Cand6"
"AT5G03640",9871,-0.26,"Protein kinase superfamily protein(AT5G03640)","AT5G03640"
"AT5G04420",6970,-0.26,"Galactose oxidase/kelch repeat superfamily protein(AT5G04420)","AT5G04420"
"AT5G06130",9832,-0.26,"chaperone protein dnaJ-like protein(AT5G06130)","AT5G06130"
"AT5G11670",9825,-0.26,"NADP-malic enzyme 2(NADP-ME2)","NADP-ME2"
"AT5G13380",9567,-0.26,"Auxin-responsive GH3 family protein(AT5G13380)","AT5G13380"
"AT5G17100",9874,-0.26,"Cystatin/monellin superfamily protein(AT5G17100)","AT5G17100"
"AT5G18350",9547,-0.26,"Disease resistance protein (TIR-NBS-LRR class) family(AT5G18350)","AT5G18350"
"AT5G18480",9845,-0.26,"plant glycogenin-like starch initiation protein 6(PGSIP6)","PGSIP6"
"AT5G25390",9524,-0.26,"Integrase-type DNA-binding superfamily protein(SHN3)","SHN3"
"AT5G26600",9586,-0.26,"Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(AT5G26600)","AT5G26600"
"AT5G28330",9905,-0.26,"miscRNA(AT5G28330)","AT5G28330"
"AT5G37850",9588,-0.26,"pfkB-like carbohydrate kinase family protein(SOS4)","SOS4"
"AT5G38710",9593,-0.26,"Methylenetetrahydrofolate reductase family protein(AT5G38710)","AT5G38710"
"AT5G40970",9526,-0.26,"hypothetical protein (DUF 3339)(AT5G40970)","AT5G40970"
"AT5G42080",9531,-0.26,"dynamin-like protein(DL1)","DL1"
"AT5G45250",9588,-0.26,"Disease resistance protein (TIR-NBS-LRR class) family(RPS4)","RPS4"
"AT5G45350",9871,-0.26,"proline-rich family protein(AT5G45350)","AT5G45350"
"AT5G47130",9871,-0.26,"Bax inhibitor-1 family protein(AT5G47130)","AT5G47130"
"AT5G47720",9593,-0.26,"Thiolase family protein(AACT1)","AACT1"
"AT5G48850",9855,-0.26,"Tetratricopeptide repeat (TPR)-like superfamily protein(ATSDI1)","ATSDI1"
"AT5G49640",9518,-0.26,"hypothetical protein(AT5G49640)","AT5G49640"
"AT5G50665",9567,-0.26,"hypothetical protein(AT5G50665)","AT5G50665"
"AT5G53050",9598,-0.26,"alpha/beta-Hydrolases superfamily protein(AT5G53050)","AT5G53050"
"AT5G53110",9845,-0.26,"RING/U-box superfamily protein(AT5G53110)","AT5G53110"
"AT5G53350",9586,-0.26,"CLP protease regulatory subunit X(CLPX)","CLPX"
"AT5G53530",9944,-0.26,"vacuolar protein sorting 26A(VPS26A)","VPS26A"
"AT5G54430",9531,-0.26,"Adenine nucleotide alpha hydrolases-like superfamily protein(PHOS32)","PHOS32"
"AT5G55680",9844,-0.26,"glycine-rich protein(AT5G55680)","AT5G55680"
"AT5G56200",9522,-0.26,"C2H2 type zinc finger transcription factor family(AT5G56200)","AT5G56200"
"AT5G57640",9526,-0.26,"GCK domain-containing protein(AT5G57640)","AT5G57640"
"AT5G58470",9601,-0.26,"TBP-associated factor 15B(TAF15b)","TAF15b"
"AT5G58510",9844,-0.26,"Rab3 GTPase-activating protein catalytic protein(AT5G58510)","AT5G58510"
"AT5G58560",9874,-0.26,"Phosphatidate cytidylyltransferase family protein(FOLK)","FOLK"
"AT5G59770",9567,-0.26,"Protein-tyrosine phosphatase-like, PTPLA(AT5G59770)","AT5G59770"
"AT5G60440",9533,-0.26,"AGAMOUS-like 62(AGL62)","AGL62"
"AT5G63680",9832,-0.26,"Pyruvate kinase family protein(AT5G63680)","AT5G63680"
"AT5G64590",9557,-0.26,"NYN domain protein(AT5G64590)","AT5G64590"
"ATMG00560",9533,-0.26,"RPL2","RPL2"
"ATMG00810",9588,-0.26,"ORF240B","ORF240B"
"ATMG01350",9874,-0.26,"ORF145C","ORF145C"
"ATMG01360",9880,-0.26,"COX1","COX1"
"ATMG01410",8357,-0.26,"ORF204","ORF204"
"AT1G02850",9557,-0.27,"beta glucosidase 11(BGLU11)","BGLU11"
"AT1G06010",9588,-0.27,"basic leucine zipper/W2 domain protein(AT1G06010)","AT1G06010"
"AT1G15140",9557,-0.27,"FAD/NAD(P)-binding oxidoreductase(AT1G15140)","AT1G15140"
"AT1G17420",9874,-0.27,"lipoxygenase 3(LOX3)","LOX3"
"AT1G20350",9905,-0.27,"translocase inner membrane subunit 17-1(TIM17-1)","TIM17-1"
"AT1G23950",9524,-0.27,"hypothetical protein (DUF626)(AT1G23950)","AT1G23950"
"AT1G25530",6970,-0.27,"Transmembrane amino acid transporter family protein(AT1G25530)","AT1G25530"
"AT1G26090",9543,-0.27,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G26090)","AT1G26090"
"AT1G28150",9874,-0.27,"hypothetical protein(AT1G28150)","AT1G28150"
"AT1G36180",9518,-0.27,"acetyl-CoA carboxylase 2(ACC2)","ACC2"
"AT1G47710",9522,-0.27,"Serine protease inhibitor (SERPIN) family protein(SERPIN1)","SERPIN1"
"AT1G49952",9855,-0.27,"ncRNA(AT1G49952)","AT1G49952"
"AT1G50560",9557,-0.27,"cytochrome P450, family 705, subfamily A, polypeptide 25(CYP705A25)","CYP705A25"
"AT1G51370",9524,-0.27,"F-box/RNI-like/FBD-like domains-containing protein(AT1G51370)","AT1G51370"
"AT1G52620",9601,-0.27,"Pentatricopeptide repeat (PPR) superfamily protein(AT1G52620)","AT1G52620"
"AT1G53390",9855,-0.27,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(ABCG24)","ABCG24"
"AT1G53620",9588,-0.27,"transmembrane protein(AT1G53620)","AT1G53620"
"AT1G55210",9601,-0.27,"Disease resistance-responsive (dirigent-like protein) family protein(AT1G55210)","AT1G55210"
"AT1G56320",9880,-0.27,"hypothetical protein(AT1G56320)","AT1G56320"
"AT1G56550",9584,-0.27,"RhamnoGalacturonan specific Xylosyltransferase 1(RGXT3)","RGXT3"
"AT1G56650",9844,-0.27,"production of anthocyanin pigment 1(PAP1)","PAP1"
"AT1G61840",9518,-0.27,"Cysteine/Histidine-rich C1 domain family protein(AT1G61840)","AT1G61840"
"AT1G64195",9598,-0.27,"Defensin-like (DEFL) family protein(AT1G64195)","AT1G64195"
"AT1G70730",9550,-0.27,"Phosphoglucomutase/phosphomannomutase family protein(PGM2)","PGM2"
"AT1G70810",9587,-0.27,"Calcium-dependent lipid-binding (CaLB domain) family protein(AT1G70810)","AT1G70810"
"AT1G71780",9874,-0.27,"WD repeat protein(AT1G71780)","AT1G71780"
"AT1G71980",9588,-0.27,"Protease-associated (PA) RING/U-box zinc finger family protein(AT1G71980)","AT1G71980"
"AT1G74170",9944,-0.27,"receptor like protein 13(RLP13)","RLP13"
"AT1G74720",9601,-0.27,"C2 calcium/lipid-binding plant phosphoribosyltransferase family protein(QKY)","QKY"
"AT1G75290",9547,-0.27,"NAD(P)-binding Rossmann-fold superfamily protein(AT1G75290)","AT1G75290"
"AT1G76520",9593,-0.27,"Auxin efflux carrier family protein(AT1G76520)","AT1G76520"
"AT1G76860",9588,-0.27,"Small nuclear ribonucleoprotein family protein(LSM3B)","LSM3B"
"AT1G77920",9588,-0.27,"bZIP transcription factor family protein(TGA7)","TGA7"
"AT1G80210",9526,-0.27,"Mov34/MPN/PAD-1 family protein(BRCC36A)","BRCC36A"
"AT2G01970",9524,-0.27,"Endomembrane protein 70 protein family(AT2G01970)","AT2G01970"
"AT2G04080",8357,-0.27,"MATE efflux family protein(AT2G04080)","AT2G04080"
"AT2G12460",9567,-0.27,"hypothetical protein(AT2G12460)","AT2G12460"
"AT2G13650",9587,-0.27,"golgi nucleotide sugar transporter 1(GONST1)","GONST1"
"AT2G19470",9587,-0.27,"casein kinase I-like 5(ckl5)","ckl5"
"AT2G20310",9825,-0.27,"RPM1 interacting protein 13(RIN13)","RIN13"
"AT2G20370",9874,-0.27,"Exostosin family protein(MUR3)","MUR3"
"AT2G20580",9588,-0.27,"26S proteasome regulatory subunit S2 1A(RPN1A)","RPN1A"
"AT2G21970",9587,-0.27,"stress enhanced protein 2(SEP2)","AtSEP2"
"AT2G22190",9880,-0.27,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(TPPE)","TPPE"
"AT2G23190",9825,-0.27,"cytochrome P450, family 81, subfamily D, polypeptide 7(CYP81D7)","CYP81D7"
"AT2G23755",6970,-0.27,"transmembrane family 220 helix protein(AT2G23755)","AT2G23755"
"AT2G24180",9522,-0.27,"cytochrome p450 71b6(CYP71B6)","CYP71B6"
"AT2G24590",9533,-0.27,"RNA recognition motif and CCHC-type zinc finger domains containing protein(RSZ22a)","RSZ22a"
"AT2G24890",9518,-0.27,"hypothetical protein(AT2G24890)","AT2G24890"
"AT2G26510",9587,-0.27,"Xanthine/uracil permease family protein(PDE135)","PDE135"
"AT2G26870",9586,-0.27,"non-specific phospholipase C2(NPC2)","NPC2"
"AT2G26900",9588,-0.27,"Sodium Bile acid symporter family(BASS2)","BASS2"
"AT2G29630",9871,-0.27,"thiaminC(THIC)","THIC"
"AT2G31018",9584,-0.27,"hypothetical protein(AT2G31018)","AT2G31018"
"AT2G31200",8357,-0.27,"actin depolymerizing factor 6(ADF6)","ADF6"
"AT2G31280",9547,-0.27,"transcription factor bHLH155-like protein(CPUORF7)","CPUORF7"
"AT2G31350",9587,-0.27,"glyoxalase 2-5(GLX2-5)","GLX2-5"
"AT2G31955",8357,-0.27,"cofactor of nitrate reductase and xanthine dehydrogenase 2(CNX2)","CNX2"
"AT2G32520",9598,-0.27,"alpha/beta-Hydrolases superfamily protein(AT2G32520)","AT2G32520"
"AT2G32780",9560,-0.27,"ubiquitin-specific protease 1(UBP1)","UBP1"
"AT2G33600",9832,-0.27,"NAD(P)-binding Rossmann-fold superfamily protein(CRL2)","CRL2"
"AT2G34470",8357,-0.27,"urease accessory protein G(UREG)","UREG"
"AT2G34960",9567,-0.27,"cationic amino acid transporter 5(CAT5)","CAT5"
"AT2G36580",9526,-0.27,"Pyruvate kinase family protein(AT2G36580)","AT2G36580"
"AT2G36590",9531,-0.27,"proline transporter 3(ProT3)","ProT3"
"AT2G37750",9819,-0.27,"hypothetical protein(AT2G37750)","AT2G37750"
"AT2G38660",9543,-0.27,"Amino acid dehydrogenase family protein(AT2G38660)","AT2G38660"
"AT2G39220",9845,-0.27,"PATATIN-like protein 6(PLP6)","PLP6"
"AT2G39710",9533,-0.27,"Eukaryotic aspartyl protease family protein(AT2G39710)","AT2G39710"
"AT2G41180",9846,-0.27,"VQ motif-containing protein(SIB2)","SIB2"
"AT2G46860",9584,-0.27,"pyrophosphorylase 3(PPa3)","PPa3"
"AT2G47650",9598,-0.27,"UDP-xylose synthase 4(UXS4)","UXS4"
"AT3G02190",9601,-0.27,"Ribosomal protein L39 family protein(AT3G02190)","AT3G02190"
"AT3G07030",9522,-0.27,"Alba DNA/RNA-binding protein(AT3G07030)","AT3G07030"
"AT3G08690",9844,-0.27,"ubiquitin-conjugating enzyme 11(UBC11)","UBC11"
"AT3G12100",9825,-0.27,"Cation efflux family protein(AT3G12100)","AT3G12100"
"AT3G15320",9880,-0.27,"hypothetical protein(AT3G15320)","AT3G15320"
"AT3G18320",9588,-0.27,"F-box and associated interaction domains-containing protein(AT3G18320)","AT3G18320"
"AT3G18620",9567,-0.27,"DHHC-type zinc finger family protein(AT3G18620)","AT3G18620"
"AT3G21360",9543,-0.27,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT3G21360)","AT3G21360"
"AT3G24300",9832,-0.27,"ammonium transporter 1;3(AMT1;3)","AMT1;3"
"AT3G24610",9825,-0.27,"Galactose oxidase/kelch repeat superfamily protein(AT3G24610)","AT3G24610"
"AT3G25220",6970,-0.27,"FK506-binding protein 15 kD-1(FKBP15-1)","FKBP15-1"
"AT3G28550",9567,-0.27,"Proline-rich extensin-like family protein(AT3G28550)","AT3G28550"
"AT3G43358",9855,-0.27,"hypothetical protein(AT3G43358)","AT3G43358"
"AT3G43826",9845,-0.27,"miscRNA(AT3G43826)","AT3G43826"
"AT3G44215",9819,-0.27,"hypothetical protein(AT3G44215)","AT3G44215"
"AT3G44880",9586,-0.27,"Pheophorbide a oxygenase family protein with Rieske 2Fe-2S domain-containing protein(ACD1)","ACD1"
"AT3G46440",9825,-0.27,"UDP-XYL synthase 5(UXS5)","UXS5"
"AT3G50170",9550,-0.27,"transmembrane protein, putative (DUF247)(AT3G50170)","AT3G50170"
"AT3G54980",9825,-0.27,"Pentatricopeptide repeat (PPR) superfamily protein(AT3G54980)","AT3G54980"
"AT3G55470",9522,-0.27,"Calcium-dependent lipid-binding (CaLB domain) family protein(AT3G55470)","AT3G55470"
"AT3G56490",9944,-0.27,"HIS triad family protein 3(HIT3)","HIT3"
"AT3G58480",9526,-0.27,"calmodulin-binding family protein(AT3G58480)","AT3G58480"
"AT3G58560",9567,-0.27,"DNAse I-like superfamily protein(AT3G58560)","AT3G58560"
"AT3G59600",8357,-0.27,"RNA polymerase Rpb8(NRPB8B)","NRPB8B"
"AT3G60410",9547,-0.27,"hypothetical protein (DUF1639)(AT3G60410)","AT3G60410"
"AT3G63010",9598,-0.27,"alpha/beta-Hydrolases superfamily protein(GID1B)","GID1B"
"AT4G00670",9531,-0.27,"Remorin family protein(AT4G00670)","AT4G00670"
"AT4G01020",9567,-0.27,"helicase domain-containing protein / IBR domain-containing protein / zinc finger protein-like protein(AT4G01020)","AT4G01020"
"AT4G02590",9586,-0.27,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(UNE12)","UNE12"
"AT4G03140",9522,-0.27,"NAD(P)-binding Rossmann-fold superfamily protein(AT4G03140)","AT4G03140"
"AT4G04635",9567,-0.27,"hypothetical protein(AT4G04635)","AT4G04635"
"AT4G08590",9586,-0.27,"ORTHRUS-like protein(ORTHL)","ORTHL"
"AT4G10550",9871,-0.27,"Subtilase family protein(AT4G10550)","AT4G10550"
"AT4G11610",9819,-0.27,"C2 calcium/lipid-binding plant phosphoribosyltransferase family protein(AT4G11610)","AT4G11610"
"AT4G14160",9846,-0.27,"Sec23/Sec24 protein transport family protein(AT4G14160)","AT4G14160"
"AT4G15270",9819,-0.27,"glucosyltransferase-like protein(AT4G15270)","AT4G15270"
"AT4G15520",9587,-0.27,"tRNA/rRNA methyltransferase (SpoU) family protein(AT4G15520)","AT4G15520"
"AT4G19010",9531,-0.27,"AMP-dependent synthetase and ligase family protein(AT4G19010)","AT4G19010"
"AT4G19070",9567,-0.27,"Putative membrane lipoprotein(AT4G19070)","AT4G19070"
"AT4G19900",9584,-0.27,"alpha 1,4-glycosyltransferase family protein(AT4G19900)","AT4G19900"
"AT4G20730",9533,-0.27,"hypothetical protein(AT4G20730)","AT4G20730"
"AT4G21860",9557,-0.27,"methionine sulfoxide reductase B 2(MSRB2)","MSRB2"
"AT4G22810",9531,-0.27,"Putative AT-hook DNA-binding family protein(AT4G22810)","AT4G22810"
"AT4G23030",9855,-0.27,"MATE efflux family protein(AT4G23030)","AT4G23030"
"AT4G23760",9846,-0.27,"Cox19-like CHCH family protein(AT4G23760)","AT4G23760"
"AT4G27585",9845,-0.27,"SPFH/Band 7/PHB domain-containing membrane-associated protein family(AT4G27585)","AT4G27585"
"AT4G31250",8357,-0.27,"Leucine-rich repeat protein kinase family protein(AT4G31250)","AT4G31250"
"AT4G32750",9598,-0.27,"transmembrane protein(AT4G32750)","AT4G32750"
"AT4G34980",9518,-0.27,"subtilisin-like serine protease 2(SLP2)","SLP2"
"AT4G35240",9845,-0.27,"DNA-directed RNA polymerase subunit beta, putative (DUF630 and DUF632)(AT4G35240)","AT4G35240"
"AT4G35900",9593,-0.27,"Basic-leucine zipper (bZIP) transcription factor family protein(FD)","FD"
"AT4G35987",9871,-0.27,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G35987)","AT4G35987"
"AT4G36720",9844,-0.27,"HVA22-like protein K(HVA22K)","HVA22K"
"AT4G36920",9560,-0.27,"Integrase-type DNA-binding superfamily protein(AP2)","AP2"
"AT5G01430",9550,-0.27,"Got1/Sft2-like vescicle transport protein family(AT5G01430)","AT5G01430"
"AT5G03204",9560,-0.27,"hypothetical protein(AT5G03204)","AT5G03204"
"AT5G05300",9560,-0.27,"hypothetical protein(AT5G05300)","AT5G05300"
"AT5G06190",9874,-0.27,"transmembrane protein(AT5G06190)","AT5G06190"
"AT5G07320",9524,-0.27,"Mitochondrial substrate carrier family protein(APC3)","APC3"
"AT5G07470",9587,-0.27,"peptidemethionine sulfoxide reductase 3(PMSR3)","PMSR3"
"AT5G07780",9557,-0.27,"Actin-binding FH2 (formin homology 2) family protein(FH19)","FH19"
"AT5G08380",9518,-0.27,"alpha-galactosidase 1(AGAL1)","AGAL1"
"AT5G09600",9568,-0.27,"succinate dehydrogenase 3-1(SDH3-1)","SDH3-1"
